policy,nominal_capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,Q,reference_L,Q_minus_L,status,sparse_prefix
FROZEN_SIMPLE,14,391237,0.13999964931829983,58179,333058,203,1847,684.8835318585743,376.6491812050451,308.2343506535292,point_estimate_only,False
FROZEN_SIMPLE,15,419183,0.14999980318884173,62398,356785,218,1974,727.4996313984423,403.5531755050632,323.94645589337904,point_estimate_only,False
FROZEN_SIMPLE,16,447129,0.15999995705938366,66479,380650,231,2104,781.324418237338,430.4571698050814,350.86724843225664,point_estimate_only,False
FROZEN_SIMPLE,17,475074,0.16999975309145599,70669,404405,253,2231,783.2016018339018,457.3602013914982,325.8414004424036,point_estimate_only,False
FROZEN_SIMPLE,18,503020,0.1799999069619979,74809,428211,271,2369,817.7804809581735,484.26419569151636,333.5162852666571,point_estimate_only,False
FROZEN_SIMPLE,19,530965,0.18999970299407026,78939,452026,279,2510,912.3707673013339,511.16722727793325,401.20354002340065,point_estimate_only,False
FROZEN_SIMPLE,20,558911,0.19999985686461216,83143,475768,296,2671,977.2034326401501,538.0712215779514,439.13221106219873,point_estimate_only,False
FROZEN_SIMPLE,21,586856,0.2099996528966845,87356,499500,304,2816,1077.7335958606163,564.9742531643683,512.759342696248,point_estimate_only,False
FROZEN_SIMPLE,22,614802,0.21999980676722644,91574,523228,322,2943,1103.1828466595323,591.8782474643864,511.3045991951459,point_estimate_only,False
FROZEN_SIMPLE,23,642748,0.22999996063776834,95800,546948,341,3066,1119.139164926931,618.7822417644045,500.3569231625265,point_estimate_only,False
FROZEN_SIMPLE,24,670693,0.2399997566698407,99956,570737,357,3200,1161.5720016807395,645.6852733508214,515.8867283299181,point_estimate_only,False
FROZEN_SIMPLE,25,698639,0.24999991054038262,104053,594586,376,3329,1180.4378633965384,672.5892676508396,507.84859574569884,point_estimate_only,False
FROZEN_SIMPLE,26,726584,0.25999970657245497,108292,618292,397,3445,1178.332803900565,699.4922992372565,478.8405046633086,point_estimate_only,False
FROZEN_SIMPLE,27,754530,0.26999986044299684,112544,641986,410,3576,1237.2324068808643,726.3962935372745,510.8361133435899,point_estimate_only,False
