utc_date,dim_name,dim_value_key,dim_value_label,current_amount,history_amount_sum,history_days,history_mean_amount,amount_difference,current_share,history_share,signed_contribution,direction,js_component,direction_rank,cumulative_same_direction_share,share_status
2019-10-25,brand_group,brand:continental,continental,0,249.69,3,83.23,-83.23,0,0.000191069176170915093255095853342802643,0.00124654671015559892378322158811818175,same_direction,9.553458808545755e-05,65,0.978082017246671415582234422688233693,defined
2019-10-25,brand_group,brand:cordiant,cordiant,651.78,2316.68,3,772.226666666666666666666666666666667,-120.446666666666666666666666666666667,0.00176714151398733529602860308517997335,0.00177278280688708229501468004935001012,0.00180394564559102933685701985922793782,same_direction,3.242485572246654e-09,51,0.962396435062689608674038134427190549,defined
2019-10-25,brand_group,brand:crown,crown,252.9,252.54,3,84.18,168.72,0.000685676284770009967114108625981182700,0.000193250069086478824344755123565987342,-0.00252694173900579899580325779583443020,offsetting,0.00010550141470157292,23,,defined
2019-10-25,brand_group,brand:dauscher,dauscher,915.13,1461.47,3,487.156666666666666666666666666666667,427.973333333333333333333333333333333,0.00248115040917983084699539037917817210,0.00111835423484523721951029250985183939,-0.00640981317675107761714026937969760871,offsetting,0.00019081685191671768,13,,defined
2019-10-25,brand_group,brand:defender,defender,14.13,7.44,3,2.48,11.65,0.0000383100272985379234295071367541087843,0.00000569327834799795063405788437210321464,-0.000174483589731019193344641733768795115,offsetting,9.774376293082277e-06,57,,defined
2019-10-25,brand_group,brand:dell,dell,0,1766.07,3,588.69,-588.69,0,0.00135144194785601353175949030282800057,0.00881688793465696900687185770406454904,same_direction,0.0006757209739280068,19,0.871077628329541860420366832243530070,defined
2019-10-25,brand_group,brand:delonghi,delonghi,0,386.08,3,128.693333333333333333333333333333333,-128.693333333333333333333333333333333,0,0.000295438293628366771612509139567420579,0.00192745706218460343824032276318902484,same_direction,0.00014771914681418338,48,0.958204909915388223847664054763104401,defined
2019-10-25,brand_group,brand:denzel,denzel,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:dewalt,dewalt,489.03,786.61,3,262.203333333333333333333333333333333,226.826666666666666666666666666666667,0.00132588483013474881066750708328816835,0.000601934096951433864012939842196251299,-0.00339721296538380373926070978526436910,offsetting,0.00010049963280964614,20,,defined
2019-10-25,brand_group,brand:dior,dior,0,187.9,3,62.6333333333333333333333333333333333,-62.6333333333333333333333333333333333,0,0.000143785887310324586577886622784703499,0.000938067711314978724734139678831376313,same_direction,7.18929436551623e-05,78,0.988458080171484051060370075405381220,defined
2019-10-25,brand_group,brand:dji,dji,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:efremov,efremov,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:elari,elari,125.82,406.89,3,135.63,-9.81,0.000341130051995898197162108134918752105,0.000311362638039904050200512442495306049,0.000146925666546034187700509477104882410,same_direction,4.899726724817614e-07,110,0.999653527190717532745939929393975229,defined
2019-10-25,brand_group,brand:electrolux,electrolux,850.69,282.79,3,94.2633333333333333333333333333333333,756.426666666666666666666666666666667,0.00230643716366547955288375273640147217,0.000216398143014830706963068430320842482,-0.0113291021603664444942239940946166346,offsetting,0.0007288339307884796,8,,defined
2019-10-25,brand_group,brand:elenberg,elenberg,209.77,1194.04,3,398.013333333333333333333333333333333,-188.243333333333333333333333333333333,0.000568739874480842193758507577983680091,0.000913709956806918410630440356944371291,0.00281934528265517794155992922206728656,same_direction,2.922039145187971e-05,38,0.941805645306074333792718989553319841,defined
2019-10-25,brand_group,brand:epson,epson,360.83,1909.44,3,636.48,-275.65,0.000978301992224447198235602275653579097,0.00146115233989263533046982348595010244,0.00412844648148973739445926986380844408,same_direction,3.469913228906248e-05,33,0.929131869464230035826103006631481350,defined
2019-10-25,brand_group,brand:fly,fly,0,87.46,3,29.1533333333333333333333333333333333,-29.1533333333333333333333333333333333,0,0.0000669266296123522530181051837613101011,0.000436633326405577643774602747794529922,same_direction,3.3463314806176124e-05,94,0.996377186448739641171042973575890454,defined
2019-10-25,brand_group,brand:force,force,239.32,2754.53,3,918.176666666666666666666666666666667,-678.856666666666666666666666666666667,0.000648857447493708127045268787543758971,0.00210783682902026813978917530100664890,0.0101673260182690059682373967308015756,same_direction,0.0002932234728347188,16,0.850381136903837822478362263046954296,defined
