round,effect,N,p0,delta,delta_fraction,delta_pp,q,q_fraction,n_A,n_B,K,tau,flips_B,buyers_A,buyers_B,mean_A,mean_B,difference,difference_pp,difference_per_10000,relative_change,se,ci_low,ci_high,p_value,df,method,unit,status,reason,estimation_error,two_sided_rejection,positive_rejection,negative_rejection,srm_status,srm_statistic,srm_p,srm_flag
3,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,42121,42044,391,0.004645636547258362,193,2394,2611,0.05683625744877852,0.06210160783940634,0.005265350390627817,0.5265350390627817,52.65350390627817,0.09264069498898674,0.0016303370110729604,0.002069948566262135,0.008460752214993499,0.0012395980331784556,,unpooled_wald_z_min_cell_10,probability,ok,,0.0006197138433694557,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,42121,42044,426,0.005061486366066655,210,2394,2628,0.05683625744877852,0.06250594615165066,0.005669688702872135,0.5669688702872134,56.69688702872135,0.09975478607087601,0.0016329168512414084,0.002469230484690425,0.008870146921053843,0.0005163590522921153,,unpooled_wald_z_min_cell_10,probability,ok,,0.0006082023368054779,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
3,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,42121,42044,490,0.0058218974633161055,248,2394,2666,0.05683625744877852,0.06340976120254971,0.006573503753771186,0.6573503753771186,65.73503753771186,0.11565687201862827,0.0016386602860144115,0.003361788610286835,0.009785218897255536,6.0331366768184876e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.0007516062904550855,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
3,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,42121,42044,688,0.008174419295431593,353,2394,2771,0.05683625744877852,0.06590714489582342,0.009070887447044894,0.9070887447044894,90.70887447044893,0.159596846347944,0.0016543655851729193,0.005828390482843441,0.012313384411246346,4.181716696402431e-08,,unpooled_wald_z_min_cell_10,probability,ok,,0.0008964681516133113,True,True,False,ok,0.07044495930612488,0.7906900184910093,False
4,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,42088,42077,0,0.0,0,2363,2449,0.056144269150351644,0.05820281864201345,0.0020585494916618083,0.20585494916618083,20.58549491661808,0.03666535378970046,0.001600567095311987,-0.0010785043699895742,0.005195603353313191,0.19839505056132,,unpooled_wald_z_min_cell_10,probability,ok,,0.0020585494916618074,False,False,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,42088,42077,95,0.001128735222479653,44,2363,2493,0.056144269150351644,0.05924852056943223,0.003104251419080585,0.3104251419080585,31.04251419080585,0.05529061943557497,0.0016074041858211612,-4.620289372781958e-05,0.00625470573188899,0.053455828066004,,unpooled_wald_z_min_cell_10,probability,ok,,0.001975516196600934,False,False,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,42088,42077,177,0.0021030119408305117,89,2363,2538,0.056144269150351644,0.060317988449746895,0.004173719299395251,0.4173719299395251,41.73719299395251,0.07433918657340133,0.0016143500633621995,0.001009651316765386,0.007337787282025116,0.009726981531571356,,unpooled_wald_z_min_cell_10,probability,ok,,0.002070707358564737,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,42088,42077,255,0.0030297629656032793,127,2363,2576,0.056144269150351644,0.061221094659790386,0.005076825509438741,0.5076825509438742,50.76825509438741,0.09042464326756569,0.0016201792158740931,0.0019013325978251734,0.00825231842105231,0.0017273712132871244,,unpooled_wald_z_min_cell_10,probability,ok,,0.0020470625438354607,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,42088,42077,339,0.004027802530743183,176,2363,2625,0.056144269150351644,0.062385626351688574,0.006241357201336929,0.6241357201336929,62.41357201336929,0.11116641637319877,0.0016276473610380886,0.0030512269941706132,0.009431487408503246,0.00012577488639878626,,unpooled_wald_z_min_cell_10,probability,ok,,0.0022135546705937437,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
4,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,42088,42077,400,0.004752569357809065,204,2363,2653,0.056144269150351644,0.06305107303277326,0.006906803882421611,0.690680388242161,69.06803882421612,0.12301885814784629,0.0016318906606057715,0.0037083569609270223,0.0101052508039162,2.3121712104503966e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.0021542345246125393,True,True,False,ok,0.0014376522307372422,0.9697543493199434,False
